iter	RMSE
386	5370494.78
387	5364761.784
388	5356930.865
389	5349744.641
390	5334360.055
391	5322912.551
392	5317521.442
393	5314786.198
394	5312149.057
395	5305110.905
396	5298335.085
397	5283645.05
398	5281079.296
399	5275376.81
400	5264804.3
401	5259326.231
402	5253523.615
403	5250960.979
404	5248540.45
405	5246089.074
406	5243779.8
407	5241529.313
408	5239335.96
409	5234259.791
410	5232144.194
411	5229945.489
412	5219521.323
413	5216602.172
414	5214601.422
415	5209414.313
416	5199847.358
417	5194884.32
418	5190088.428
419	5178145.881
420	5170488.327
421	5165869.755
422	5159475.063
423	5156985.585
424	5153521.144
425	5141144.14
426	5132832.622
427	5121446.118
428	5110257.246
429	5104555.331
430	5101177.124
431	5095050.223
432	5087310.591
433	5079377.661
434	5073346.335
435	5070121.958
436	5060970.249
437	5057849.901
438	5053639.109
439	5048111.023
440	5041398.232
441	5035876.264
442	5030052.515
443	5018088.146
444	5014743.845
445	5012495.554
446	5006989.968
447	5000862.033
448	4991437.642
449	4984648.449
450	4977653.409
451	4974723.509
452	4970882.221
453	4958877.559
454	4953999.402
455	4943334.845
456	4939684.631
457	4935018.712
458	4932403.2
459	4929929.53
460	4924862.741
461	4920959.769
462	4918773.415
463	4916014.181
464	4913495.42
465	4901911.06
466	4899276.044
467	4895508.435
468	4887873.75
469	4883443.686
470	4879152.067
471	4868136.72
472	4860570.558
473	4851970.434
474	4849290.236
475	4837987.478
476	4828300.798
477	4824665.322
478	4819987.323
479	4814696.807
480	4809881.283
481	4805018.115
482	4796966.494
483	4787730.82
484	4786066.278
485	4782432.919
486	4779305.157
487	4775418.485
488	4764978.619
489	4759755.805
490	4757504.211
491	4747545.543
492	4741287.665
493	4739091.028
494	4736747.812
495	4730832.78
496	4726332.77
497	4718191.293
498	4713854.716
499	4711345.676
500	4707772.429
501	4705737.562
502	4704225.396
503	4702153.337
504	4700032.354
505	4693854.886
506	4689064.382
507	4687059.954
508	4685083.126
509	4675454.939
510	4672319.305
511	4670950.859
512	4660973.955
513	4652885.041
514	4651307.996
515	4646774.119
516	4643309.364
517	4639725.097
518	4637153.716
519	4633816.013
520	4631490.864
521	4630167.399
522	4625919.372
523	4622691.401
524	4621044.27
525	4616648.176
526	4609214.703
527	4602732.897
528	4600306.579
529	4593181.741
530	4591219.902
531	4589771.686
532	4584572.406
533	4582213.144
534	4576242.163
535	4568976.344
536	4555342.498
537	4548602.783
538	4541915.505
539	4537990.329
540	4528709.877
541	4515217.756
542	4512116.587
543	4505667.161
544	4494143.273
545	4491226.148
546	4488651.725
547	4480100.027
548	4477112.837
549	4473361.01
550	4468448.181
551	4461639.788
552	4451909.524
553	4443480.741
554	4440099.548
555	4438088.626
556	4432374.101
557	4430339.452
558	4426409.033
559	4420234.679
560	4412668.883
561	4410426.195
562	4406891.999
563	4404984.872
564	4403660.16
565	4397398.874
566	4394657.991
567	4387597.779
568	4385743.264
569	4378877.765
570	4372945.998
571	4365936.503
572	4364234.924
573	4361004.713
574	4355316.463
575	4346658.995
576	4345480.469
577	4337533.125
578	4335831.967
579	4326650.979
580	4322160.814
581	4316796.095
582	4312709.409
583	4307565.302
584	4305267.072
585	4299888.069
586	4295744.536
587	4287072.48
588	4283225.892
589	4278043.272
590	4269323.256
591	4267704.901
592	4262418.132
593	4257438.848
594	4255999.008
595	4255009.568
596	4251868.496
597	4248097.706
598	4244793.711
599	4240394.133
600	4236467.118
601	4231103.95
602	4226510.007
603	4222301.191
604	4217312.205
605	4212613.506
606	4207636.566
607	4205708.225
608	4202066.704
609	4196799.668
610	4192326.558
611	4187011.425
612	4184126.284
613	4179889.682
614	4175600.647
615	4171237.596
616	4161437.915
617	4149489.456
618	4144878.088
619	4142848.462
620	4131496.19
621	4123073.265
622	4113880.045
623	4104060.395
624	4097716.908
625	4089016.344
626	4083748.92
627	4075384.238
628	4070850.36
629	4064407.694
630	4059601.702
631	4057756.952
632	4051503.487
633	4049666.739
634	4042368.824
635	4037432.659
636	4031402.166
637	4030505.994
638	4019221.493
639	4011691.086
640	4003796.751
641	4000102.554
642	3994179.073
643	3990881.245
644	3984388.224
645	3982714.461
646	3975055.448
647	3973954.972
648	3966650.82
649	3960604.47
650	3952663.249
651	3944822.198
652	3939958.919
653	3935874.654
654	3931759.065
655	3926543.573
656	3916774.244
657	3912626.022
658	3908037.773
659	3904021.831
660	3902869.678
661	3898944.592
662	3895772.943
663	3891403.521
664	3887621.512
665	3883791.213
666	3879783.898
667	3874791.917
668	3870891.977
669	3867528.305
670	3862401.898
671	3861574.249
672	3856915.854
673	3850072.806
674	3846385.297
675	3845093.684
676	3839797.615
677	3833718.703
678	3827511.759
679	3825844.315
680	3818662.889
681	3815683.603
682	3809768.337
683	3807069.946
684	3804127.089
685	3798965.092
686	3797525.389
687	3792451.336
688	3786926.601
689	3782265.735
690	3777672.328
691	3773253.801
692	3770427.478
693	3767496.812
694	3763301.679
695	3761618.151
696	3760400.246
697	3758412.81
698	3753311.058
699	3744412.543
700	3743046.214
701	3741410.593
702	3733922.218
703	3732697.367
704	3730563.023
705	3728968.807
706	3724207.668
707	3722847.905
708	3720768.849
709	3717318.012
710	3712871.727
711	3708429.201
712	3706338.556
713	3702893.257
714	3701386.895
715	3698136.404
716	3695066.533
717	3691550.139
718	3685535.046
719	3682728.589
720	3680865.442
721	3678213.809
722	3674167.892
723	3671332.512
724	3668659.412
725	3662307.312
726	3656802.847
727	3649836.554
728	3648434.816
729	3641734.057
730	3639755.998
731	3637574.673
732	3634918.61
733	3632279.811
734	3625839.821
735	3622104.379
736	3613152.14
737	3611969.255
738	3609451.052
739	3601558.109
740	3599242.243
741	3595654.888
742	3589730.31
743	3583180.11
744	3575650.852
745	3574320.778
746	3569317.764
747	3566170.389
748	3564877.582
749	3559852.625
750	3551895.706
751	3548908.44
752	3545111.434
753	3538066.541
754	3534436.003
755	3531162.47
756	3527685.806
757	3523389.537
758	3520529.685
759	3519276.016
760	3518262.022
761	3514846.619
762	3512186.632
763	3504965.219
764	3502089.366
765	3495461.058
766	3494257.584
767	3488702.503
768	3485060.544
769	3480312.044
770	3474452.754
771	3469449.01
772	3467050.934
773	3463762.009
774	3461937.188
775	3460199.71
776	3457411.513
777	3452605.58
778	3446142.536
779	3444216.277
780	3440535.132
781	3436465.301
782	3432198.121
783	3430353.002
784	3427982.387
785	3426591.36
786	3423432.825
787	3421326.775
788	3419916.204
789	3417188.096
790	3415648.196
791	3413293.899
792	3409740.421
793	3406901.936
794	3404120.585
795	3401388.693
796	3395239.362
797	3392317.01
798	3391288.515
799	3389805.026
800	3388378.859
801	3386979.515
802	3381464.063
803	3378852.899
804	3377479.533
805	3376456.306
806	3375132.123
807	3372495.291
808	3366808.62
809	3363374.73
810	3360272.079
811	3359181.967
812	3354043.934
813	3347252.965
814	3344747.31
815	3342791.718
816	3341476.816
817	3338227.824
818	3335094.173
819	3329937.803
820	3327534.487
821	3323992.391
822	3321100.159
823	3319840.244
824	3316940.527
825	3315904.409
826	3314318.975
827	3309582.619
828	3304723.821
829	3301803.384
830	3298112.011
831	3295899.069
832	3292197.367
833	3290970.995
834	3289911.207
835	3285983.114
836	3285154.066
837	3284132.352
838	3278555.135
839	3274265.986
840	3273408.234
841	3271380.653
842	3268576.448
843	3265040.954
844	3263045.452
845	3257524.898
846	3253366.537
847	3251061.328
848	3249149.904
849	3245323.617
850	3243959.821
851	3239993.262
852	3235474.795
853	3232896.702
854	3230402.483
855	3227035.233
856	3224355.794
857	3221277.764
858	3219094.379
859	3215379.448
860	3213585.269
861	3212071.119
862	3210833.504
863	3206648.826
864	3203091.686
865	3201559.797
866	3198647.791
867	3195571.171
868	3193434.811
869	3190939.963
870	3190453.877
871	3187946.954
872	3180912.269
873	3178862.162
874	3175626.721
875	3173188.753
876	3171315.125
877	3170327.502
878	3169136.291
879	3166862.324
880	3160159.702
881	3159220.699
882	3152880.739
883	3148263.435
884	3141786.292
885	3135028.391
886	3132248.343
887	3129483.467
888	3127571.466
889	3125188.758
890	3117476.792
891	3113834.705
892	3109466.664
893	3105674.024
894	3102170.202
895	3101518.155
896	3098610.277
897	3097431.682
898	3096355.467
899	3095655.928
900	3091928.488
901	3090303.458
902	3089032.85
903	3086616.053
904	3085125.682
905	3083622.279
906	3082406.6
907	3081264.635
908	3080276.283
909	3079178.823
910	3078124.267
911	3074527.612
912	3073506.186
913	3069283.424
914	3068124.337
915	3066671.858
916	3062458.368
917	3060710.213
918	3058453.414
919	3052572.683
920	3050888.686
921	3047828.296
922	3045643.467
923	3041919.039
924	3039271.907
925	3037678.18
926	3031955.299
927	3027024.481
928	3026192.647
929	3023754
930	3022027.937
931	3020791.652
932	3017930.562
933	3016729.039
934	3015313.383
935	3010990.325
936	3009626.31
937	3008309.362
938	3005101.875
939	3003321.667
940	3002232.283
941	3000944.916
942	3000098
943	2997586.51
944	2994617.047
945	2990180.613
946	2987342.988
947	2986436.241
948	2984589.425
949	2983546.696
950	2982750.98
951	2978297.375
952	2976308.533
953	2975168.114
954	2970869.94
955	2966690.317
956	2963908.436
957	2963334.638
958	2962684.895
959	2961135.477
960	2957760.753
961	2956192.613
962	2954185.346
963	2948960.933
964	2943129.568
965	2941530.349
966	2940470.524
967	2938691.69
968	2936451.28
969	2934499.02
970	2933959.102
971	2928279.538
972	2926290.819
973	2925543.681
974	2923619.324
975	2922152.905
976	2917221.83
977	2914183.057
978	2912787.481
979	2911325.856
980	2909626.706
981	2906701.636
982	2900333.891
983	2898696.732
984	2896799.53
985	2893254.612
986	2891390.308
987	2890743.133
988	2889962.631
989	2888884.969
990	2887244.657
991	2886625.905
992	2885053.202
993	2883489.616
994	2880940.146
995	2879903.469
996	2878828.487
997	2877917.86
998	2872448.382
999	2871149.521
